2020-05-02 | 13:46:10.430 | main                      |  INFO | c.l.c.CustomLoggingApplication       | ID:        | Starting CustomLoggingApplication on DESKTOP-8AO41P3 with PID 15744 (D:\ENOCK\PROJECTS\spring-boot\custom-logging\target\classes started by Enock in D:\ENOCK\PROJECTS\spring-boot\custom-logging)
2020-05-02 | 13:46:10.443 | main                      | DEBUG | c.l.c.CustomLoggingApplication       | ID:        | Running with Spring Boot v2.2.6.RELEASE, Spring v5.2.5.RELEASE
2020-05-02 | 13:46:10.445 | main                      |  INFO | c.l.c.CustomLoggingApplication       | ID:        | No active profile set, falling back to default profiles: default
2020-05-02 | 13:46:11.451 | main                      |  INFO | o.s.b.w.e.tomcat.TomcatWebServer     | ID:        | Tomcat initialized with port(s): 8081 (http)
2020-05-02 | 13:46:11.459 | main                      |  INFO | o.a.catalina.core.StandardService    | ID:        | Starting service [Tomcat]
2020-05-02 | 13:46:11.460 | main                      |  INFO | o.a.catalina.core.StandardEngine     | ID:        | Starting Servlet engine: [Apache Tomcat/9.0.33]
2020-05-02 | 13:46:11.550 | main                      |  INFO | o.a.c.c.C.[Tomcat].[localhost].[/]   | ID:        | Initializing Spring embedded WebApplicationContext
2020-05-02 | 13:46:11.550 | main                      |  INFO | o.s.web.context.ContextLoader        | ID:        | Root WebApplicationContext: initialization completed in 1020 ms
2020-05-02 | 13:46:11.682 | main                      |  INFO | o.s.s.c.ThreadPoolTaskExecutor       | ID:        | Initializing ExecutorService 'applicationTaskExecutor'
2020-05-02 | 13:46:11.833 | main                      |  INFO | o.s.b.w.e.tomcat.TomcatWebServer     | ID:        | Tomcat started on port(s): 8081 (http) with context path ''
2020-05-02 | 13:46:11.836 | main                      |  INFO | c.l.c.CustomLoggingApplication       | ID:        | Started CustomLoggingApplication in 1.808 seconds (JVM running for 2.967)
2020-05-02 | 13:46:11.842 | main                      | DEBUG | c.l.c.CustomLoggingApplication       | ID: 154457 | Spring Boot Application has started successfully.........
2020-05-02 | 13:58:29.806 | main                      |  INFO | c.l.c.CustomLoggingApplication       | ID:        | Starting CustomLoggingApplication on DESKTOP-8AO41P3 with PID 368 (D:\ENOCK\PROJECTS\spring-boot\custom-logging\target\classes started by Enock in D:\ENOCK\PROJECTS\spring-boot\custom-logging)
2020-05-02 | 13:58:29.811 | main                      | DEBUG | c.l.c.CustomLoggingApplication       | ID:        | Running with Spring Boot v2.2.6.RELEASE, Spring v5.2.5.RELEASE
2020-05-02 | 13:58:29.811 | main                      |  INFO | c.l.c.CustomLoggingApplication       | ID:        | No active profile set, falling back to default profiles: default
2020-05-02 | 13:58:30.635 | main                      |  INFO | o.s.b.w.e.tomcat.TomcatWebServer     | ID:        | Tomcat initialized with port(s): 8081 (http)
2020-05-02 | 13:58:30.641 | main                      |  INFO | o.a.catalina.core.StandardService    | ID:        | Starting service [Tomcat]
2020-05-02 | 13:58:30.642 | main                      |  INFO | o.a.catalina.core.StandardEngine     | ID:        | Starting Servlet engine: [Apache Tomcat/9.0.33]
2020-05-02 | 13:58:30.738 | main                      |  INFO | o.a.c.c.C.[Tomcat].[localhost].[/]   | ID:        | Initializing Spring embedded WebApplicationContext
2020-05-02 | 13:58:30.738 | main                      |  INFO | o.s.web.context.ContextLoader        | ID:        | Root WebApplicationContext: initialization completed in 875 ms
2020-05-02 | 13:58:30.870 | main                      |  INFO | o.s.s.c.ThreadPoolTaskExecutor       | ID:        | Initializing ExecutorService 'applicationTaskExecutor'
2020-05-02 | 13:58:31.003 | main                      |  INFO | o.s.b.w.e.tomcat.TomcatWebServer     | ID:        | Tomcat started on port(s): 8081 (http) with context path ''
2020-05-02 | 13:58:31.006 | main                      |  INFO | c.l.c.CustomLoggingApplication       | ID:        | Started CustomLoggingApplication in 1.55 seconds (JVM running for 2.515)
2020-05-02 | 13:58:31.013 | main                      | DEBUG | c.l.c.CustomLoggingApplication       | ID: 154457 | Spring Boot Application has started successfully.........
2020-05-02 | 15:11:36.747 | http-nio-8081-exec-1      |  INFO | o.a.c.c.C.[Tomcat].[localhost].[/]   | ID:        | Initializing Spring DispatcherServlet 'dispatcherServlet'
2020-05-02 | 15:11:36.748 | http-nio-8081-exec-1      |  INFO | o.s.web.servlet.DispatcherServlet    | ID:        | Initializing Servlet 'dispatcherServlet'
2020-05-02 | 15:11:36.752 | http-nio-8081-exec-1      |  INFO | o.s.web.servlet.DispatcherServlet    | ID:        | Completed initialization in 4 ms
2020-05-02 | 15:11:36.769 | http-nio-8081-exec-1      |  INFO | c.l.c.CustomLoggingApplication       | ID: 154454 | Loading Homepage
